Date,Ticker,Close,Target_Risk,pred_logistic,proba_logistic,pred_rf,proba_rf
2025-04-01,BBVA,12.755,1,0,0.4233596302168165,0,0.2242462339172887
2025-04-02,BBVA,12.73,1,0,0.4715000094063558,0,0.2082268939039867
2025-04-03,BBVA,12.535,1,0,0.3819373082355677,0,0.240091762976545
2025-04-04,BBVA,11.36,0,0,0.28564601132972467,0,0.1839786153813378
2025-04-07,BBVA,10.81,0,0,0.2130942695461316,0,0.19600831698335072
2025-04-08,BBVA,10.82,0,0,0.12664961518877557,0,0.18734319027248003
2025-04-09,BBVA,10.7,0,0,0.2081543141757155,0,0.1805820781684755
2025-04-10,BBVA,11.38,0,0,0.16974359663230024,0,0.20192362282981102
2025-04-11,BBVA,11.28,0,0,0.23356001485149264,0,0.19474547069433013
2025-04-14,BBVA,11.655,0,0,0.273794727831546,0,0.18399323837925174
2025-04-15,BBVA,11.91,0,0,0.25580975064343403,0,0.21312854000352954
2025-04-16,BBVA,11.95,0,0,0.2608951463929584,0,0.19923421457372706
2025-04-17,BBVA,11.865,0,0,0.23860894916714748,0,0.20572936266420622
2025-04-22,BBVA,11.915,0,0,0.27560895147932485,0,0.18369702631432958
2025-04-23,BBVA,12.355,0,0,0.26488157667207635,0,0.20332470039947698
2025-04-24,BBVA,12.25,0,0,0.28867883465390154,0,0.192969604691101
2025-04-25,BBVA,12.455,0,0,0.3114067659911613,0,0.19633391432560654
2025-04-28,BBVA,12.595,0,0,0.3029902610855947,0,0.20049922265386264
2025-04-29,BBVA,12.34,0,0,0.322214224897597,0,0.19472942949142139
2025-04-30,BBVA,12.06,0,0,0.33893289454950837,0,0.2039182159472885
2025-05-02,BBVA,12.22,0,0,0.3480557632160933,0,0.1567957165324083
2025-05-05,BBVA,12.44,0,0,0.3016227607830512,0,0.18849789578580853
2025-05-06,BBVA,12.515,0,0,0.2744439186374795,0,0.18511487425348666
2025-05-07,BBVA,12.55,0,0,0.24639166459320527,0,0.1727478475095707
2025-05-08,BBVA,12.805,0,0,0.28303629936028013,0,0.16692516504931595
2025-05-09,BBVA,12.815,0,0,0.28866664301727096,0,0.15847305997972594
2025-05-12,BBVA,13.045,0,0,0.30553522646227105,0,0.1551618563982021
2025-05-13,BBVA,13.23,0,0,0.322246042902154,0,0.16407302935363907
2025-05-14,BBVA,13.405,0,0,0.2936458461777685,0,0.15209725073932226
2025-05-15,BBVA,13.345,0,0,0.3052689590893592,0,0.1633610046962443
2025-05-16,BBVA,13.4,0,0,0.30288698854366486,0,0.16254632436763694
2025-05-19,BBVA,13.465,0,0,0.29382580255434326,0,0.15098910688956352
2025-05-20,BBVA,13.77,0,0,0.2928956496460928,0,0.16748746531155348
2025-05-21,BBVA,13.695,0,0,0.28108190995623705,0,0.15500048348494788
2025-05-22,BBVA,13.68,0,0,0.30373451560654646,0,0.1578998702227802
2025-05-23,BBVA,13.265,0,0,0.2611130926477242,0,0.1548947072892859
2025-05-26,BBVA,13.435,0,0,0.2576693873358146,0,0.14794428679427504
2025-05-27,BBVA,13.545,0,0,0.24014079814286293,0,0.13806408588228206
2025-05-28,BBVA,13.24,0,0,0.2538678598129768,0,0.13447831145208164
2025-05-29,BBVA,13.25,0,0,0.24580420781313916,0,0.13282656410412066
2025-05-30,BBVA,13.21,0,0,0.3046229348347522,0,0.14080084760725187
2025-06-02,BBVA,13.22,0,0,0.27569830504939646,0,0.13139810526022064
2025-06-03,BBVA,13.165,0,0,0.26285963735014894,0,0.1367435202339869
2025-06-04,BBVA,13.12,0,0,0.27599924906535966,0,0.13684499012137072
2025-06-05,BBVA,13.2,0,0,0.27594798423134165,0,0.13271566179236796
2025-06-06,BBVA,13.24,0,0,0.29084440789972554,0,0.16515463772945987
2025-06-09,BBVA,13.25,0,0,0.2783388953139868,0,0.14302493189234117
2025-06-10,BBVA,13.185,0,0,0.2840668661075806,0,0.1453164741620493
2025-06-11,BBVA,13.255,0,0,0.2599361609565853,0,0.13680700231819845
2025-06-12,BBVA,13.215,0,0,0.23747363653270756,0,0.13400439568680209
2025-06-13,BBVA,12.955,0,0,0.22116566140959582,0,0.1501974587179481
2025-06-16,BBVA,13.21,0,0,0.23257618395302893,0,0.1406435180378649
2025-06-17,BBVA,13.05,0,0,0.22845931498058186,0,0.15907605516017842
2025-06-18,BBVA,13.075,0,0,0.23069265741106054,0,0.12555402096176274
2025-06-19,BBVA,12.84,0,0,0.21856135943918617,0,0.1583873383630975
2025-06-20,BBVA,12.91,0,0,0.20781845563516274,0,0.15448314712693198
2025-06-23,BBVA,12.79,0,0,0.20617919806027582,0,0.14779969529903783
2025-06-24,BBVA,13.115,0,0,0.24170658905381814,0,0.14919920628104183
2025-06-25,BBVA,12.71,0,0,0.25350070967722377,0,0.16262200815664773
2025-06-26,BBVA,12.76,0,0,0.29461828742548435,0,0.16426701945176916
